11:24:51.030 ->  
11:24:51.030 ->  __  __       ____
11:24:51.030 -> |  \/  |_   _/ ___|  ___ _ __  ___  ___  _ __ ___
11:24:51.077 -> | |\/| | | | \___ \ / _ \ `_ \/ __|/ _ \| `__/ __|
11:24:51.077 -> | |  | | |_| |___| |  __/ | | \__ \  _  | |  \__ \
11:24:51.077 -> |_|  |_|\__, |____/ \___|_| |_|___/\___/|_|  |___/
11:24:51.077 ->         |___/                      2.4.0-alpha
11:24:55.430 -> 4077 !MCO:PRO:RC=1
11:24:55.430 -> 4078 !MCO:PRO:RC=1
11:24:55.430 -> 4080 !MCO:PRO:RC=1
11:24:55.430 -> 4082 !MCO:PRO:RC=1
11:24:55.430 -> 4084 !MCO:PRO:RC=1
11:24:55.430 -> 4085 !MCO:PRO:RC=1
11:24:55.430 -> 4087 !MCO:PRO:RC=1
11:24:55.430 -> 4089 !MCO:PRO:RC=1
11:24:55.430 -> 4091 !MCO:PRO:RC=1
11:24:55.430 -> 4092 !MCO:PRO:RC=1
11:24:55.430 -> 4094 !MCO:PRO:RC=1
11:24:55.430 -> 4097 !MCO:PRO:RC=1
11:24:55.430 -> 4099 !MCO:PRO:RC=1
11:24:55.430 -> 4100 !MCO:PRO:RC=1
11:24:55.430 -> 4102 !MCO:PRO:RC=1
11:24:55.430 -> 4104 !MCO:PRO:RC=1
11:24:55.430 -> 4106 !MCO:PRO:RC=1
11:24:55.430 -> 4107 !MCO:PRO:RC=1
11:24:55.430 -> 4109 !MCO:PRO:RC=1
11:24:55.430 -> 4111 !MCO:PRO:RC=1
11:24:55.430 -> 4113 !MCO:PRO:RC=1
11:24:55.430 -> 4114 !MCO:PRO:RC=1
11:24:55.430 -> 4116 !MCO:PRO:RC=1
11:24:55.430 -> 4118 !MCO:PRO:RC=1
11:24:55.430 -> 4120 !MCO:PRO:RC=1
11:24:55.430 -> 4121 !MCO:PRO:RC=1
11:24:55.430 -> 4123 !MCO:PRO:RC=1
11:24:55.430 -> 4125 !MCO:PRO:RC=1
11:24:55.430 -> 4127 !MCO:PRO:RC=1
11:24:55.430 -> 4128 !MCO:PRO:RC=1
11:24:55.430 -> 4130 !MCO:PRO:RC=1
11:24:55.430 -> 4132 !MCO:PRO:RC=1
11:24:55.430 -> 4134 !MCO:PRO:RC=1
11:24:55.430 -> 4135 !MCO:PRO:RC=1
11:24:55.430 -> 4137 !MCO:PRO:RC=1
11:24:55.430 -> 4140 !MCO:PRO:RC=1
11:24:55.430 -> 4142 !MCO:PRO:RC=1
11:24:55.430 -> 4143 !MCO:PRO:RC=1
11:24:55.430 -> 4145 !MCO:PRO:RC=1
11:24:55.430 -> 4147 !MCO:PRO:RC=1
11:24:55.430 -> 4149 !MCO:PRO:RC=1
11:24:55.430 -> 4150 !MCO:PRO:RC=1
11:24:55.430 -> 4152 !MCO:PRO:RC=1
11:24:55.430 -> 4154 !MCO:PRO:RC=1
11:24:55.430 -> 4156 !MCO:PRO:RC=1
11:24:55.430 -> 4157 !MCO:PRO:RC=1
11:24:55.430 -> 4159 !MCO:PRO:RC=1
11:24:55.430 -> 4161 !MCO:PRO:RC=1
11:24:55.430 -> 4163 !MCO:PRO:RC=1
11:24:55.430 -> 4164 !MCO:PRO:RC=1
11:24:55.430 -> 4166 !MCO:PRO:RC=1
11:24:55.430 -> 4168 !MCO:PRO:RC=1
11:24:55.430 -> 4170 !MCO:PRO:RC=1
11:24:55.430 -> 4171 !MCO:PRO:RC=1
11:24:55.430 -> 4173 !MCO:PRO:RC=1
11:24:55.430 -> 4175 !MCO:PRO:RC=1
11:24:55.430 -> 4177 !MCO:PRO:RC=1
11:24:55.430 -> 4178 !MCO:PRO:RC=1
11:24:55.430 -> 4180 !MCO:PRO:RC=1
11:24:55.430 -> 4183 !MCO:PRO:RC=1
11:24:55.430 -> 4185 !MCO:PRO:RC=1
11:24:55.430 -> 4186 !MCO:PRO:RC=1
11:24:55.430 -> 4188 !MCO:PRO:RC=1
11:24:55.430 -> 4190 !MCO:PRO:RC=1
11:24:55.430 -> 4192 !MCO:PRO:RC=1
11:24:55.430 -> 4193 !MCO:PRO:RC=1
11:24:55.430 -> 4195 !MCO:PRO:RC=1
11:24:55.430 -> 4197 !MCO:PRO:RC=1
11:24:55.430 -> 4199 !MCO:PRO:RC=1
11:24:55.430 -> 4200 !MCO:PRO:RC=1
11:24:55.430 -> 4202 !MCO:PRO:RC=1
11:24:55.430 -> 4204 !MCO:PRO:RC=1
11:24:55.430 -> 4206 !MCO:PRO:RC=1
11:24:55.430 -> 4207 !MCO:PRO:RC=1
11:24:55.430 -> 4209 !MCO:PRO:RC=1
11:24:55.430 -> 4211 !MCO:PRO:RC=1
11:24:55.430 -> 4213 !MCO:PRO:RC=1
11:24:55.430 -> 4214 !MCO:PRO:RC=1
11:24:55.430 -> 4216 !MCO:PRO:RC=1
11:24:55.430 -> 4218 !MCO:PRO:RC=1
11:24:55.430 -> 4220 !MCO:PRO:RC=1
11:24:55.430 -> 4222 !MCO:PRO:RC=1
11:24:55.430 -> 4224 !MCO:PRO:RC=1
11:24:55.430 -> 4226 !MCO:PRO:RC=1
11:24:55.430 -> 4228 !MCO:PRO:RC=1
11:24:55.430 -> 4230 !MCO:PRO:RC=1
11:24:55.430 -> 4231 !MCO:PRO:RC=1
11:24:55.430 -> 4237 TSF:MSG:READ,0-0-123,s=255,c=3,t=16,pt=0,l=0,sg=1:
11:24:55.430 -> 4242 SGN:SKP:MSG CMD=3,TYPE=16
11:24:55.570 -> 4312 SGN:SKP:MSG CMD=3,TYPE=17
11:24:55.795 -> 4530 TSF:MSG:SEND,123-123-0-0,s=255,c=3,t=17,pt=6,l=25,sg=1,ft=0,st=OK:<NONCE>
11:24:55.795 -> 4537 SGN:NCE:XMT,TO=123
11:24:55.795 -> 4539 !MCO:PRO:RC=1
11:24:55.795 -> 4541 !MCO:PRO:RC=1
11:24:55.795 -> 4543 !MCO:PRO:RC=1
11:24:55.795 -> 4544 !MCO:PRO:RC=1
11:24:55.795 -> 4546 !MCO:PRO:RC=1
11:24:55.795 -> 4552 TSF:MSG:READ,0-0-123,s=255,c=3,t=27,pt=1,l=1,sg=1:1
11:24:55.795 -> 4557 SGN:BND:NONCE=714B8C6A20DFD07D631BD0A1EAB3F746B4BE4A54E55773BE8CAAAAAAAAAAAAAA
11:24:55.936 -> 4664 SGN:BND:HMAC=14D98A8806D4036538FF85DA06726A26EF415A43592FAD91D953A7663B4D585A
11:24:55.936 -> 4671 SGN:VER:OK
11:24:55.936 -> 4673 MCO:PIM:NODE REG=1
